gender,ethnicity,parental education,free lunch,test prep,score
0,2,1,1,0,58.33333333
0,4,0,0,1,82
1,3,2,1,0,77
1,1,3,0,1,72.33333333
1,2,0,0,0,82.66666667
1,2,4,0,0,59
1,1,1,0,0,71
1,4,3,0,1,97.66666667
1,4,5,0,1,91.33333333
0,2,5,1,0,67.66666667
1,1,5,1,1,48.33333333
1,1,3,0,1,89.33333333
0,3,5,0,0,78
0,3,4,0,1,82.33333333
1,3,1,1,0,68.66666667
1,1,5,0,1,60.66666667
1,3,3,1,0,72.33333333
1,4,0,0,1,87
0,1,1,0,0,78.33333333
1,3,2,0,0,91.66666667
1,2,1,0,1,73
1,2,0,1,1,56
1,2,1,1,1,59
1,2,0,0,1,56.33333333
0,3,2,1,0,48
0,3,4,0,1,65
1,2,4,0,0,73
0,2,0,0,1,68.66666667
1,4,4,0,1,87.66666667
1,4,4,0,1,76.66666667
1,3,0,1,1,60.66666667
0,2,5,0,1,77
0,2,0,0,1,63.33333333
1,3,5,0,1,64
0,2,5,0,1,80.33333333
0,4,3,0,1,80
1,3,1,0,1,59
1,0,3,0,0,77.66666667
0,3,2,0,1,77
1,4,1,0,1,72
0,2,3,0,1,85.33333333
1,2,4,0,1,75
0,3,5,0,0,66
0,1,4,0,1,56.33333333
1,2,5,0,1,74.33333333
0,0,4,0,1,55.66666667
0,4,0,0,1,81.66666667
1,1,1,1,1,71.33333333
1,1,1,0,0,96.66666667
0,2,1,1,0,82.66666667
0,1,0,0,0,80.66666667
1,3,1,0,1,75
0,4,1,0,1,81.33333333
0,2,1,0,1,49.66666667
0,3,5,0,0,60.66666667
0,1,1,1,0,53.66666667
0,0,0,0,1,59
0,4,3,0,1,52
1,2,1,0,1,48.66666667
1,4,2,1,1,65
0,3,5,0,0,71.66666667
1,3,3,1,0,72.66666667
1,1,0,0,0,72.66666667
0,3,0,1,1,74.33333333
1,0,2,0,0,66.33333333
0,4,4,0,1,42
0,3,2,0,1,61.33333333
1,3,4,0,1,69
1,1,2,0,1,67
0,4,5,0,1,73.66666667
1,2,1,1,0,79.66666667
0,2,1,0,1,61.66666667
1,1,5,0,1,66
1,1,1,0,1,85.33333333
0,0,4,1,1,85.33333333
1,0,5,0,0,64.66666667
0,1,4,1,0,73
1,3,4,1,1,95
1,2,5,0,1,81
0,2,0,0,1,44.66666667
1,3,0,0,1,76
1,2,3,0,1,75.33333333
0,2,3,0,1,70.33333333
1,0,2,0,0,77.33333333
0,1,2,0,1,63
0,3,2,1,0,56
1,3,5,1,1,59.66666667
0,3,1,0,1,58
0,2,0,0,0,85.66666667
1,1,4,0,1,57.66666667
1,2,1,1,0,95.33333333
1,4,0,0,0,92.33333333
1,0,0,1,0,88
0,3,0,1,1,60
1,1,5,0,1,68.66666667
0,4,5,0,1,92
1,1,1,0,1,73.33333333
1,1,1,0,1,88
0,2,0,0,1,53.33333333
0,4,4,1,1,69.33333333
0,2,5,1,1,63.33333333
0,2,2,0,0,56.66666667
0,4,4,1,1,60.33333333
1,4,2,1,0,53.33333333
1,4,0,0,1,74.66666667
0,1,4,0,1,92.66666667
0,0,2,0,1,79
0,3,1,1,0,83.33333333
1,3,5,0,1,64.66666667
0,0,2,1,0,57.33333333
1,3,5,0,1,83
1,4,5,0,1,59.66666667
0,2,4,0,1,82
1,4,5,1,0,65
1,2,4,1,0,85.33333333
1,4,2,0,1,64.33333333
1,3,0,0,1,64
0,1,1,0,1,48
0,3,0,0,0,92
1,4,2,0,1,55
0,2,5,1,1,20
1,2,2,0,1,73.66666667
0,1,5,1,0,59.66666667
1,4,1,1,1,81
1,1,0,0,1,87
0,2,3,0,1,74
0,3,0,1,0,71
1,2,1,0,1,79.33333333
0,1,3,0,0,89.66666667
1,1,2,1,0,58.33333333
0,3,0,1,0,77
0,1,2,0,1,55.33333333
0,1,3,0,0,68.66666667
1,3,2,1,1,66.33333333
1,3,0,0,1,75.33333333
1,1,5,1,1,75
0,2,5,0,0,79.66666667
0,2,5,0,0,78.33333333
1,2,1,1,0,60.66666667
0,2,5,0,1,75.66666667
0,0,5,0,0,83.66666667
1,2,5,0,1,59.33333333
1,2,0,0,1,71
0,2,5,1,1,74
0,1,3,0,0,59
1,1,3,0,0,70.33333333
0,3,3,0,1,40
0,1,0,0,1,79.33333333
1,1,5,1,1,52
0,2,4,1,0,62.33333333
1,1,1,0,0,74.66666667
0,2,0,0,1,80
0,2,2,0,1,50
1,3,2,1,0,62
0,1,0,1,1,48.33333333
1,0,1,0,1,56.66666667
1,2,0,0,1,83
1,2,5,1,1,61.66666667
1,3,2,0,1,77.33333333
1,3,4,1,1,73.33333333
1,3,5,1,1,55.33333333
1,2,0,1,0,52
1,2,0,0,1,85.33333333
1,3,0,1,0,64
1,4,5,1,1,79
0,2,1,0,1,84
0,3,1,0,1,68
1,1,5,0,1,56.33333333
1,3,4,0,1,40
1,2,4,0,0,78.33333333
0,0,1,0,1,37.66666667
1,0,1,1,1,70.33333333
1,2,3,1,1,75
0,2,2,0,1,57
1,2,5,0,1,65.33333333
1,1,5,1,1,63
1,1,0,0,0,58.33333333
0,4,0,0,0,73.66666667
0,0,0,0,1,73
0,1,3,1,1,51.66666667
1,2,3,0,1,70.33333333
1,0,4,0,1,70
0,2,5,0,1,48.33333333
1,3,1,0,1,44
1,4,1,0,1,96.33333333
1,2,3,1,1,55
0,3,4,0,1,63.66666667
0,2,3,1,1,51.66666667
1,1,0,1,0,42
0,3,5,0,1,53.66666667
1,1,2,0,1,49
1,2,5,0,0,70
1,2,1,0,1,74.66666667
1,3,2,0,1,79.66666667
1,1,3,0,0,88.66666667
1,0,2,0,1,78.33333333
0,4,5,1,0,66
1,2,3,1,0,68
1,1,5,1,1,58
1,0,5,0,1,68
0,1,3,0,0,84
1,2,0,0,1,59.66666667
0,3,5,0,0,81
0,4,2,1,1,49.33333333
1,3,5,0,0,93.33333333
0,2,4,0,1,77.33333333
0,0,2,0,1,56
1,3,0,0,1,75
1,3,5,1,1,58.33333333
0,0,0,1,1,42
1,2,0,0,1,56
0,2,2,0,1,49
0,2,2,0,0,65
1,1,2,0,1,54
0,2,1,1,0,64
1,3,2,0,0,94.33333333
0,1,0,1,1,43.33333333
1,2,1,0,1,65.66666667
0,3,1,1,1,64
0,3,0,1,1,54
1,2,5,0,0,61.33333333
1,3,0,0,1,72.66666667
1,4,2,0,1,81.33333333
0,3,1,0,1,69
0,2,5,0,1,64
0,2,2,1,1,56.66666667
0,3,0,1,1,49.33333333
1,1,5,1,1,58.66666667
1,1,1,1,1,65.33333333
1,2,3,1,0,58
1,1,5,1,0,56.33333333
1,3,3,1,0,92
1,1,1,0,1,81.66666667
0,1,1,0,1,62.66666667
1,3,0,0,1,55.66666667
1,1,5,1,0,63.33333333
0,3,1,0,1,88
0,1,0,0,1,57.33333333
0,1,0,0,1,55.66666667
0,1,3,0,1,73
0,1,0,1,1,72
1,2,1,0,1,62.66666667
0,0,0,0,1,72
1,1,2,0,1,43.66666667
0,2,0,0,1,70.66666667
0,1,0,1,1,52.66666667
0,0,5,0,0,74.66666667
0,3,1,0,1,81
1,2,0,0,0,86.33333333
1,1,2,0,1,72
1,1,4,0,0,71
0,2,0,0,0,86.66666667
1,1,4,0,1,69
1,2,5,0,1,74
0,4,5,0,0,81.66666667
0,4,2,0,1,87.33333333
0,1,0,1,0,57.66666667
0,2,3,0,0,67.33333333
1,1,2,1,1,75
1,2,3,1,0,76.33333333
1,2,2,1,1,40.33333333
0,4,0,0,1,94
1,3,5,0,1,48.66666667
0,3,2,0,0,59
1,2,5,1,0,74
0,4,5,0,1,94.33333333
1,1,5,1,1,50.33333333
0,2,0,1,1,58.33333333
0,2,5,0,1,25.66666667
1,2,3,0,0,79
0,3,3,0,0,100
1,0,5,0,0,72
1,2,1,1,0,88
0,4,3,1,1,63.66666667
1,0,1,0,1,79.33333333
1,2,0,0,1,73
0,2,5,0,0,66.33333333
1,2,2,0,1,63.33333333
1,4,3,1,0,78.66666667
0,2,0,1,0,73
1,4,3,1,1,62.66666667
1,3,5,0,0,97
1,3,0,0,1,61
0,4,0,0,1,66.66666667
1,2,1,1,1,53.33333333
1,2,0,1,1,65.33333333
0,2,3,1,1,61
1,3,0,1,0,74.66666667
0,2,3,1,1,70.66666667
1,1,1,1,1,73
1,2,1,1,1,69.33333333
0,4,0,0,1,75.66666667
0,4,2,0,1,65.33333333
1,3,0,1,1,48
1,2,3,0,1,66.66666667
0,2,0,1,1,70.66666667
0,2,5,0,1,88
0,3,2,0,0,52.66666667
1,3,4,0,1,71.66666667
0,3,1,0,1,66
0,3,2,0,0,90.33333333
1,2,5,0,1,73.33333333
0,3,0,0,0,68
0,4,5,0,1,82.66666667
0,2,5,0,1,81.33333333
1,3,5,0,0,71.66666667
1,3,1,0,1,47.33333333
1,0,5,0,1,67.33333333
0,2,0,0,1,79
0,2,0,0,1,74.33333333
0,1,0,1,1,41
1,3,3,1,0,61.33333333
0,3,3,0,1,70.33333333
0,2,2,0,0,66.66666667
0,4,0,0,0,80
1,0,3,1,1,70
1,2,1,1,0,75.66666667
0,2,2,0,1,77.33333333
0,3,3,0,1,62
0,2,5,0,0,68.66666667
0,4,1,0,1,70.33333333
1,2,3,0,1,66
1,0,5,0,1,87
1,3,5,0,1,61
0,1,0,0,0,70.33333333
0,0,5,1,1,45.33333333
0,1,5,0,1,43.66666667
1,2,1,0,0,81
1,1,1,0,0,64
0,1,2,0,1,40.33333333
1,0,5,0,0,90
0,4,4,1,1,66.66666667
1,3,2,1,1,62
1,1,5,0,1,66.66666667
0,2,1,0,1,42.33333333
1,3,1,1,0,74.66666667
0,3,2,1,0,45.66666667
1,2,2,1,0,67
0,2,1,1,1,55.33333333
0,2,0,1,1,58
1,1,2,0,1,86
0,2,4,0,1,60.33333333
0,3,3,0,1,74.33333333
0,1,4,1,1,71.33333333
1,2,2,1,1,42.33333333
1,2,5,0,1,62
0,4,3,1,1,79.33333333
0,4,5,1,1,81
1,3,1,0,1,88
1,4,5,1,0,69.33333333
1,0,2,1,1,66
1,2,4,0,1,79.33333333
1,2,5,1,1,43.33333333
1,3,2,0,0,69.66666667
0,3,1,0,1,71
0,0,0,0,1,59
1,3,1,0,1,68
1,3,1,0,0,87
1,3,1,0,0,81
1,3,2,0,1,60.33333333
0,1,2,1,1,37.33333333
0,3,1,0,0,68
1,1,2,1,1,74.33333333
1,4,1,0,0,90.33333333
0,3,3,0,0,98
0,2,0,0,0,63.66666667
0,1,1,1,1,57
0,2,0,0,1,65.33333333
0,2,2,0,0,87.33333333
1,1,5,0,1,49.33333333
1,2,2,0,1,81.66666667
1,0,1,0,1,61.66666667
1,2,5,0,1,25.66666667
0,3,5,1,1,51.33333333
0,3,5,0,1,78.33333333
0,1,1,1,1,72.66666667
0,2,3,0,1,71
0,3,2,1,0,71.33333333
1,2,0,0,1,89.33333333
0,4,3,0,0,91.33333333
0,4,0,0,0,88.66666667
1,2,4,0,0,68.33333333
0,2,2,0,1,59.66666667
1,3,5,0,0,64
1,3,2,0,1,30
0,3,2,0,1,68
0,3,1,1,0,56.33333333
0,2,5,0,1,62.33333333
1,4,5,0,1,87.33333333
1,3,1,1,1,65.33333333
0,3,1,0,1,94
1,0,0,0,1,63
1,4,2,0,1,93
0,2,1,1,0,59.33333333
0,4,5,1,1,53.33333333
1,3,1,0,1,84
1,2,4,0,0,85
1,2,1,1,0,89.33333333
1,0,5,1,1,43.33333333
0,3,2,1,1,47
1,1,0,0,0,53.66666667
0,4,1,0,1,72
0,3,2,1,0,51
0,2,1,1,1,75.66666667
1,3,1,1,1,54.33333333
1,2,1,1,1,29.33333333
1,3,2,0,1,89.33333333
1,4,0,0,0,88
1,3,2,1,0,73.33333333
0,1,5,1,1,57
1,1,0,1,0,79.33333333
1,1,5,0,0,64.66666667
1,4,0,1,1,52
0,3,4,1,0,69.33333333
0,2,3,1,0,59.33333333
1,2,1,1,0,51
1,3,5,1,1,81
1,2,1,0,0,88
0,1,4,1,1,64
1,4,2,0,0,89
1,3,5,1,0,75.33333333
1,4,5,0,1,77.66666667
1,2,0,1,0,72
1,3,5,1,0,75.33333333
1,2,5,0,1,63.66666667
0,1,3,1,0,54
0,2,5,0,0,65.66666667
0,1,2,1,0,55.66666667
1,2,5,0,0,83
1,1,0,0,1,93.33333333
0,2,0,0,0,44
1,1,0,1,0,63.33333333
1,2,2,0,0,78
0,2,5,0,1,69.33333333
1,3,2,0,1,65
0,3,5,0,0,76
0,1,3,0,1,79
0,4,5,0,1,85
0,4,1,0,1,48
1,1,2,0,1,59
1,2,0,0,0,88
0,4,5,0,0,79.33333333
0,3,2,0,1,50.66666667
0,2,5,1,0,52.66666667
0,1,2,1,1,42.33333333
0,3,5,1,1,48
0,2,2,0,1,70.33333333
1,4,5,1,0,69
0,0,1,1,0,59.66666667
1,4,1,1,1,67.33333333
1,1,1,0,1,82.33333333
0,0,2,0,0,69.66666667
0,2,5,1,0,51
1,2,1,1,1,40
1,0,0,1,1,56
0,2,2,0,1,64.66666667
1,3,5,0,0,94
1,4,1,0,1,97
0,3,1,0,0,99.66666667
1,2,2,1,0,56.33333333
0,2,1,1,1,69
1,3,2,1,0,72
0,4,2,0,1,71.33333333
1,1,1,0,1,92.33333333
0,3,5,1,1,50.33333333
0,3,1,0,1,76.33333333
0,2,2,1,1,68
0,1,1,1,0,71
0,3,0,0,1,72.66666667
0,2,5,1,1,50.66666667
1,2,2,0,1,73.33333333
0,1,0,0,1,61.66666667
0,4,0,0,0,91.66666667
1,2,0,0,1,57
0,2,3,1,0,70.66666667
0,1,3,1,1,42.66666667
1,0,5,0,1,66.33333333
0,2,5,0,1,63.33333333
1,3,5,1,1,31.33333333
0,2,2,1,1,57.33333333
0,2,5,0,1,69
1,3,0,0,0,64.66666667
1,1,5,1,0,58.33333333
0,2,3,0,1,57.33333333
0,0,1,0,1,57.66666667
1,3,0,0,1,92.33333333
0,3,5,1,1,52.33333333
0,2,3,0,1,67.66666667
1,1,3,0,0,73.33333333
1,2,0,0,0,74
0,2,1,0,1,66.33333333
0,3,2,0,0,69.33333333
1,2,0,0,1,87
1,3,2,0,1,55
0,2,5,0,1,73.66666667
0,1,2,0,1,49.33333333
1,2,5,0,1,58.33333333
0,2,2,1,1,75.66666667
0,2,1,0,1,76.33333333
0,3,1,0,0,81.33333333
0,2,1,1,0,64.33333333
0,3,0,0,0,80.66666667
0,3,1,0,1,84
1,3,0,1,1,53
1,3,4,0,0,67.66666667
0,0,1,1,0,67.66666667
0,4,5,1,0,67.33333333
1,2,0,1,0,47
1,2,5,1,0,53
0,1,2,0,0,47.66666667
1,2,4,0,0,86.33333333
0,2,0,0,1,59
0,4,5,1,1,56.33333333
1,1,5,0,0,86
0,1,1,1,1,47.33333333
0,1,5,0,1,65
0,2,3,0,0,65.66666667
1,4,0,0,0,79
0,3,0,0,1,73.66666667
1,0,1,0,0,74
1,2,1,0,1,86
0,3,0,0,0,62.33333333
0,3,3,1,1,69.33333333
1,1,5,0,0,72.33333333
0,1,1,1,1,59.33333333
0,0,5,0,0,74.33333333
0,2,2,0,1,72
1,2,2,1,0,69
0,3,1,0,1,97
0,1,5,0,0,86.66666667
1,2,5,0,1,63.33333333
1,1,1,0,1,71.33333333
0,2,5,0,0,70.33333333
1,2,0,0,1,46
0,2,5,1,1,67.33333333
0,4,0,0,0,96.66666667
0,2,0,1,1,71
1,1,2,1,0,71.66666667
1,1,0,0,1,60.66666667
1,4,0,1,1,77.66666667
0,3,3,0,0,94.66666667
1,1,0,0,1,86.66666667
1,1,3,0,0,60.66666667
1,1,0,0,0,86.66666667
1,3,3,0,1,79
1,4,2,0,0,94.33333333
0,0,5,0,1,72
0,2,0,1,1,38.66666667
1,3,1,0,1,70.66666667
0,4,0,0,0,84.33333333
1,1,0,0,1,50
1,0,5,0,1,83
0,1,3,1,1,68.66666667
1,1,0,1,0,57.33333333
1,2,5,0,1,81.66666667
0,4,0,0,0,81.66666667
1,3,5,1,0,84
0,3,0,1,0,59.66666667
0,2,2,0,1,52.33333333
0,0,1,0,0,71
0,4,1,0,0,88
0,3,2,0,0,76.66666667
1,4,1,1,1,89.33333333
0,2,5,0,1,82
1,2,0,1,0,70.33333333
1,3,3,0,1,59.33333333
0,4,0,1,1,69.66666667
0,2,2,0,1,57.66666667
0,3,1,0,0,84.33333333
0,3,0,0,1,71
0,2,0,1,1,52
1,2,2,1,0,71.33333333
1,2,3,0,0,91.33333333
1,3,1,1,1,56
1,1,1,0,1,87.66666667
0,2,0,0,0,69
1,4,5,0,1,86.33333333
1,1,5,1,1,67
0,3,3,0,1,67.33333333
0,4,2,0,1,64.33333333
0,3,0,1,1,58.66666667
1,4,1,1,0,86.66666667
0,3,0,0,1,67.33333333
0,1,2,1,0,60.33333333
0,2,0,0,1,74.66666667
1,2,5,1,1,39.33333333
0,4,1,1,0,63.33333333
1,3,2,0,0,80.66666667
0,2,2,0,1,60
0,4,2,0,1,63
1,4,5,0,1,55.33333333
0,3,2,0,1,51.66666667
0,2,0,1,1,62.66666667
1,3,0,0,1,74.33333333
1,0,5,0,1,65.33333333
1,4,0,1,1,84.66666667
1,1,4,0,1,66.33333333
1,0,2,0,1,71.66666667
0,1,5,1,0,76.33333333
1,1,1,0,0,90
0,1,4,1,1,58
0,3,5,0,1,63.66666667
0,0,2,0,0,54
0,3,3,1,1,57.66666667
0,2,1,1,1,39.66666667
0,2,4,0,1,82.66666667
1,4,2,1,0,71
0,0,1,0,1,78.66666667
0,3,1,1,0,76.66666667
0,2,0,1,1,72.66666667
1,2,0,0,1,48.66666667
1,3,3,0,0,68.66666667
0,3,3,0,1,44.33333333
0,2,4,0,0,75
0,2,1,1,1,55.66666667
1,2,5,0,0,65.66666667
1,1,0,0,1,59.33333333
0,3,1,1,1,77.66666667
1,1,5,1,1,41
0,2,0,0,1,77.66666667
0,3,0,0,1,90.33333333
1,0,0,0,1,88.66666667
1,1,3,0,1,83.66666667
1,2,5,1,0,63.66666667
1,3,1,0,0,92.33333333
1,4,5,1,1,65.33333333
1,4,5,1,0,77.66666667
1,2,0,0,1,82.33333333
0,2,0,0,1,49.66666667
0,3,5,0,0,78
0,0,1,1,0,74.33333333
1,1,0,1,0,61.33333333
1,3,5,1,0,49.66666667
0,3,2,0,1,79.66666667
0,1,0,0,1,71
1,0,5,0,1,62
0,1,4,0,1,83.33333333
0,2,4,1,1,75.66666667
0,2,0,1,1,62.66666667
1,4,2,0,0,94.66666667
1,0,1,1,1,47
0,2,0,1,0,63.66666667
1,1,0,0,1,67.66666667
0,2,3,0,1,60.33333333
1,2,1,0,1,69
1,1,2,1,0,43.66666667
0,4,0,1,1,65.33333333
1,0,1,0,1,74.33333333
0,0,0,1,0,75.66666667
1,2,0,1,0,81.66666667
1,1,0,1,1,46.33333333
1,0,5,0,1,69.33333333
1,2,0,1,0,77.33333333
1,3,0,0,1,79
0,2,5,1,1,32.66666667
1,3,5,0,1,59.33333333
1,1,0,0,1,70.33333333
0,3,0,0,1,81.66666667
0,4,4,0,0,88
0,3,2,0,1,73
1,2,2,0,1,74.33333333
0,2,2,0,0,55.33333333
1,2,4,0,1,75.33333333
1,2,2,0,1,70
1,4,3,0,0,99
0,3,2,1,0,48.33333333
1,2,1,0,1,76.33333333
0,3,5,1,0,39
0,0,5,1,1,69.66666667
1,4,2,1,0,53.33333333
1,0,2,1,1,53
1,1,3,1,0,55.66666667
0,4,0,0,0,91.33333333
0,3,1,1,1,51
0,3,4,1,1,85.33333333
0,2,1,1,1,82
1,2,1,0,1,70.33333333
1,3,1,0,1,67
0,1,4,0,1,88
1,2,4,0,1,62.33333333
0,3,3,0,1,63.66666667
1,2,2,0,1,89.33333333
0,3,0,0,1,84.33333333
0,2,1,1,1,76.33333333
1,2,0,0,1,67
0,2,5,1,1,45
0,2,5,1,1,61.66666667
0,1,5,0,1,49.66666667
0,3,1,0,1,78
1,3,0,0,0,89.33333333
1,1,1,1,1,62.66666667
0,1,5,0,1,49.66666667
1,3,3,1,1,79
0,1,5,0,1,71.33333333
1,3,3,1,1,80.33333333
1,4,3,0,0,90.33333333
0,4,1,0,1,62.33333333
1,2,5,0,1,57.66666667
0,2,1,0,1,76.66666667
0,1,2,1,1,35.33333333
0,1,2,0,0,65.33333333
1,4,0,0,0,98
1,1,1,0,0,67.33333333
1,1,2,0,1,56
1,3,0,0,0,92
0,1,5,0,0,77.33333333
0,4,1,0,1,76.33333333
0,1,1,0,1,67.66666667
1,2,4,1,1,53
1,1,0,0,1,63.33333333
0,4,0,1,0,73.33333333
0,3,0,0,0,73
0,3,5,0,1,68
0,4,2,1,1,61.66666667
0,1,1,0,1,66.66666667
0,3,4,1,0,73.66666667
0,2,0,0,1,60
0,3,2,1,1,64.33333333
0,1,0,0,1,50
0,3,0,0,1,67.66666667
0,2,2,0,1,63
1,1,1,1,1,67.66666667
0,2,3,1,1,47.33333333
0,3,0,1,0,71.66666667
0,0,0,0,0,88.66666667
0,3,1,0,1,43.33333333
0,2,4,1,1,53
1,3,3,0,0,94.33333333
1,0,4,0,0,73.33333333
0,1,1,0,1,52
1,1,2,1,1,45.33333333
0,0,0,0,0,50.33333333
1,4,5,1,0,90.33333333
0,2,0,1,0,67
0,3,2,0,1,80.33333333
0,0,1,0,0,58.33333333
1,2,3,1,0,47
0,2,5,0,0,67
1,4,5,0,1,93.33333333
0,1,5,1,0,70.66666667
1,3,5,0,0,74.66666667
0,4,1,0,0,79.33333333
0,2,2,0,1,80.66666667
0,2,4,0,1,78
0,0,0,0,1,71
1,2,4,0,0,86
1,2,5,0,1,40.66666667
0,4,2,0,1,64.66666667
1,4,0,0,1,93.33333333
0,4,3,0,0,100
1,3,1,1,0,53.66666667
0,4,2,0,1,81.33333333
0,1,1,0,0,77
0,2,5,1,0,77
0,3,0,0,1,58.66666667
0,0,5,0,1,46.33333333
1,1,1,1,0,65
0,2,0,0,0,80.66666667
1,4,0,0,0,86
1,1,5,1,1,61.33333333
0,4,2,0,1,83.33333333
1,2,5,0,1,87.33333333
0,4,1,0,0,84
1,2,0,0,1,78
1,4,0,0,1,64
0,3,1,0,1,57.66666667
1,2,1,1,1,65.66666667
0,4,4,0,0,80.33333333
1,3,2,1,1,46.66666667
0,0,1,1,0,62.66666667
1,4,5,0,1,80
1,2,0,0,1,62
1,3,0,0,1,67.66666667
1,3,1,0,1,66
1,3,1,1,1,76.66666667
1,2,4,0,1,72
1,2,0,1,1,75.66666667
0,3,2,0,1,61.66666667
1,2,2,0,1,50
1,1,3,1,1,58
1,2,5,0,1,61
1,2,5,1,0,64.66666667
0,4,0,0,1,74.33333333
0,2,5,0,1,59.66666667
0,4,5,0,1,82.33333333
1,1,3,0,1,86.66666667
1,4,3,0,1,53.33333333
1,2,2,0,1,59.33333333
1,3,2,0,0,81.33333333
0,2,1,1,0,48.33333333
0,2,0,0,1,66.33333333
1,1,0,0,0,97.33333333
1,4,2,0,1,86
1,3,5,0,1,79
0,0,2,0,0,65.33333333
0,1,0,1,1,50.33333333
1,3,1,0,1,88.66666667
0,1,1,0,1,61.33333333
0,3,4,1,1,68.33333333
0,3,5,0,0,69.66666667
0,2,5,0,1,74.33333333
0,2,3,0,0,81
1,1,5,0,0,83.66666667
0,3,5,1,0,64
0,2,0,1,0,68
1,3,4,0,1,71.33333333
0,3,0,0,0,95.33333333
1,4,0,1,1,79.66666667
1,2,5,0,1,70.66666667
0,2,1,0,1,73.66666667
0,3,3,1,1,81.33333333
0,2,2,0,1,86
0,4,4,0,1,82.33333333
0,3,1,0,0,99.33333333
0,1,5,0,1,64
1,3,3,1,1,75
0,2,5,1,1,58.33333333
1,1,3,0,1,83
0,1,0,1,0,79
1,2,2,0,1,87
1,2,1,0,0,76.33333333
0,3,2,0,1,58
1,3,5,1,1,70.66666667
0,3,0,0,1,57.66666667
0,1,3,0,1,80.33333333
0,3,0,1,1,61
0,2,1,1,1,61
0,2,3,1,1,63.66666667
0,3,1,0,1,64.66666667
1,0,1,0,1,61.66666667
1,1,2,1,1,61.66666667
1,3,3,0,1,48.33333333
1,3,0,1,1,41.66666667
0,4,1,0,0,78
0,4,1,1,1,48
1,2,1,0,1,90
0,0,2,0,1,56.33333333
0,3,0,1,1,59.33333333
0,2,0,1,0,63.33333333
1,2,1,0,1,76.66666667
1,0,2,1,0,68.33333333
0,1,2,0,1,72.66666667
1,2,1,0,0,89
1,4,5,1,1,88
1,2,0,0,1,84.33333333
1,1,1,0,0,91.66666667
1,4,2,1,1,64.66666667
1,4,0,0,1,64
1,4,3,0,1,69
1,1,2,1,1,46.33333333
1,2,2,0,1,74.33333333
